file,field,description
ot_authentication_logs.csv,event_id,Unique authentication event identifier
ot_authentication_logs.csv,timestamp,"Local Namibia time, YYYY-MM-DD HH:MM:SS"
ot_authentication_logs.csv,user_id,Account involved in the authentication event
ot_authentication_logs.csv,source_ip,Originating endpoint IP address
ot_authentication_logs.csv,result,SUCCESS or FAILURE
ot_authentication_logs.csv,process,Process associated with the logon event
ot_dns_logs.csv,query_name,Domain requested by the client
ot_dns_logs.csv,response_ip,Resolved IP address
ot_dns_logs.csv,ttl,DNS time-to-live in seconds
ot_firewall_logs.csv,action,Firewall decision: ALLOW or DENY
ot_firewall_logs.csv,bytes_out,Bytes sent by the internal source
ot_firewall_logs.csv,bytes_in,Bytes returned to the internal source
ot_firewall_logs.csv,rule_name,Firewall rule that handled the connection
ot_network_flow_training.csv,connections_2s,Connections to the same destination in the preceding two seconds
ot_network_flow_training.csv,serror_rate,Share of connections with SYN errors
ot_network_flow_training.csv,rerror_rate,Share of connections with REJ errors
ot_network_flow_training.csv,same_srv_rate,Share of recent connections to the same service
ot_network_flow_training.csv,diff_srv_rate,Share of recent connections to different services
ot_network_flow_training.csv,label,"0 = benign, 1 = malicious; available only in training data"
