asset_id,hostname,ip_address,asset_type,business_unit,criticality,owner
OT-A001,AD-CORE-01,10.20.1.10,Domain Controller,ICT,Critical,Identity Team
OT-A002,DNS-CORE-01,10.20.1.5,DNS Server,ICT,Critical,Network Team
OT-A003,DB-BILLING-01,10.20.5.12,Database Server,Billing,Critical,Billing Platforms
OT-A004,FS-CUSTOMER-01,10.20.8.20,File Server,Customer Operations,High,Infrastructure
OT-A005,APP-CRM-01,10.20.9.10,Application Server,Customer Operations,High,Applications
OT-A006,MAIL-GW-01,10.20.2.15,Mail Gateway,ICT,High,Messaging Team
OT-A007,SIEM-01,10.20.3.50,SIEM Server,Security,Critical,SOC
OT-A008,WKST-FIN-023,10.14.7.23,Workstation,Finance,Medium,N. Shikongo
OT-A009,WKST-HR-011,10.14.8.11,Workstation,Human Resources,Medium,L. Amutenya
OT-A010,WKST-NOC-004,10.14.5.4,Workstation,Network Operations,Medium,T. Katjiuanjo
OT-A011,WKST-CSR-018,10.14.9.18,Workstation,Customer Service,Medium,M. Hamukoto
OT-A012,JUMP-ADMIN-01,10.14.1.15,Privileged Access Workstation,ICT,High,Infrastructure
