event_id,timestamp,user_id,source_ip,destination_host,logon_type,result,failure_reason,process
A00001,2026-08-10 00:10:19,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00002,2026-08-10 06:02:15,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00003,2026-08-10 06:19:25,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00004,2026-08-10 06:48:55,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00005,2026-08-10 06:50:21,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,FAILURE,Unknown user,lsass.exe
A00006,2026-08-10 08:05:13,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00007,2026-08-10 08:16:53,nshikongo,10.14.7.23,AD-CORE-01,Interactive,FAILURE,Account locked,lsass.exe
A00008,2026-08-10 08:25:58,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00009,2026-08-10 08:33:41,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00010,2026-08-10 08:44:41,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00011,2026-08-10 08:51:00,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,FAILURE,Bad password,lsass.exe
A00012,2026-08-10 09:34:03,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00013,2026-08-10 10:56:56,nshikongo,10.14.7.23,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00014,2026-08-10 11:55:06,tkatjiuanjo,10.14.5.4,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00015,2026-08-10 12:06:23,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00016,2026-08-10 12:36:39,mhamukoto,10.14.9.18,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00017,2026-08-10 13:40:08,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00018,2026-08-10 14:48:26,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00019,2026-08-10 14:54:52,nshikongo,10.14.7.23,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00020,2026-08-10 15:14:59,mhamukoto,10.14.9.18,AD-CORE-01,RemoteInteractive,SUCCESS,,winlogon.exe
A00021,2026-08-10 15:25:49,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00022,2026-08-10 15:32:06,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00023,2026-08-10 15:39:03,lamutenya,10.14.8.11,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00024,2026-08-10 16:17:36,nshikongo,10.14.7.23,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00025,2026-08-10 17:18:57,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00026,2026-08-10 18:09:16,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00027,2026-08-10 18:34:50,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00028,2026-08-11 00:03:23,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00029,2026-08-11 06:00:00,svc_backup,10.14.1.15,AD-CORE-01,Service,SUCCESS,,backup-agent.exe
A00030,2026-08-11 06:22:40,tkatjiuanjo,10.14.5.4,AD-CORE-01,Network,SUCCESS,,winlogon.exe
A00031,2026-08-11 06:25:06,tkatjiuanjo,10.14.5.4,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00032,2026-08-11 07:32:52,lamutenya,10.14.8.11,AD-CORE-01,Interactive,SUCCESS,,winlogon.exe
A00033,2026-08-11 08:22:11,mhamukoto,10.14.9.18,AD-CORE-01,Network,SUCCESS,,winlogon.exe
