event_id,timestamp,client_ip,query_name,query_type,response_code,response_ip,ttl
D00001,2026-08-10 01:18:46,10.20.9.10,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00002,2026-08-10 01:23:50,10.20.9.10,google.com,A,NOERROR,142.250.74.14,600
D00003,2026-08-10 01:25:18,10.14.7.23,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00004,2026-08-10 01:57:00,10.20.9.10,cloudflare.com,A,NOERROR,104.16.132.229,60
D00005,2026-08-10 02:00:10,10.14.8.11,mozilla.org,A,NOERROR,44.236.72.93,1800
D00006,2026-08-10 02:02:19,10.20.9.10,cloudflare.com,A,NOERROR,104.16.132.229,1800
D00007,2026-08-10 02:06:44,10.14.8.11,ubuntu.com,A,NOERROR,185.125.190.29,300
D00008,2026-08-10 02:38:40,10.14.9.18,akamaiedge.net,A,NOERROR,23.45.67.89,300
D00009,2026-08-10 02:54:44,10.14.5.4,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00010,2026-08-10 03:00:27,10.14.8.11,namibian.com.na,A,NOERROR,197.221.2.4,600
D00011,2026-08-10 03:28:26,10.14.5.4,office.com,A,NOERROR,13.107.6.156,1800
D00012,2026-08-10 03:36:01,10.20.9.10,namibian.com.na,A,NOERROR,197.221.2.4,1800
D00013,2026-08-10 03:43:52,10.14.5.4,nust.na,A,NOERROR,196.216.167.4,600
D00014,2026-08-10 03:57:58,10.14.9.18,cloudflare.com,A,NOERROR,104.16.132.229,1800
D00015,2026-08-10 04:50:15,10.14.9.18,microsoft.com,A,NOERROR,20.112.52.29,600
D00016,2026-08-10 05:04:26,10.14.5.4,mozilla.org,A,NOERROR,44.236.72.93,60
D00017,2026-08-10 05:09:20,10.14.7.23,nust.na,A,NOERROR,196.216.167.4,600
D00018,2026-08-10 05:31:48,10.14.7.23,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00019,2026-08-10 05:37:27,10.14.5.4,google.com,A,NOERROR,142.250.74.14,60
D00020,2026-08-10 06:02:23,10.20.9.10,cloudflare.com,A,NOERROR,104.16.132.229,300
D00021,2026-08-10 06:03:20,10.20.9.10,cloudflare.com,A,NOERROR,104.16.132.229,60
D00022,2026-08-10 06:13:40,10.14.5.4,namibian.com.na,A,NOERROR,197.221.2.4,60
D00023,2026-08-10 06:31:36,10.14.8.11,google.com,A,NOERROR,142.250.74.14,600
D00024,2026-08-10 06:51:42,10.14.7.23,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00025,2026-08-10 06:57:54,10.14.8.11,mozilla.org,A,NOERROR,44.236.72.93,600
D00026,2026-08-10 07:15:45,10.20.9.10,mozilla.org,A,NOERROR,44.236.72.93,60
D00027,2026-08-10 07:17:32,10.14.9.18,nust.na,A,NOERROR,196.216.167.4,300
D00028,2026-08-10 07:34:21,10.14.9.18,office.com,A,NOERROR,13.107.6.156,300
D00029,2026-08-10 07:42:09,10.14.8.11,namibian.com.na,A,NOERROR,197.221.2.4,300
D00030,2026-08-10 07:55:03,10.14.8.11,ubuntu.com,A,NOERROR,185.125.190.29,300
D00031,2026-08-10 08:23:53,10.14.5.4,office.com,A,NOERROR,13.107.6.156,1800
D00032,2026-08-10 08:27:18,10.14.7.23,github.com,A,NOERROR,140.82.121.4,600
D00033,2026-08-10 08:27:40,10.14.5.4,windowsupdate.com,A,NOERROR,13.107.4.50,300
D00034,2026-08-10 08:29:57,10.20.9.10,ubuntu.com,A,NOERROR,185.125.190.29,60
D00035,2026-08-10 08:57:34,10.14.9.18,nust.na,A,NOERROR,196.216.167.4,600
D00036,2026-08-10 09:15:35,10.14.9.18,microsoft.com,A,NOERROR,20.112.52.29,600
D00037,2026-08-10 09:27:44,10.14.9.18,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00038,2026-08-10 09:46:17,10.20.9.10,cloudflare.com,A,NOERROR,104.16.132.229,1800
D00039,2026-08-10 10:01:08,10.14.9.18,nust.na,A,NOERROR,196.216.167.4,300
D00040,2026-08-10 10:27:05,10.14.5.4,akamaiedge.net,A,NOERROR,23.45.67.89,60
D00041,2026-08-10 10:28:14,10.14.8.11,akamaiedge.net,A,NOERROR,23.45.67.89,600
D00042,2026-08-10 10:57:23,10.14.5.4,akamaiedge.net,A,NOERROR,23.45.67.89,1800
D00043,2026-08-10 11:11:29,10.20.9.10,github.com,A,NOERROR,140.82.121.4,600
D00044,2026-08-10 12:06:13,10.14.5.4,windowsupdate.com,A,NOERROR,13.107.4.50,600
D00045,2026-08-10 12:26:06,10.20.9.10,namibian.com.na,A,NOERROR,197.221.2.4,1800
D00046,2026-08-10 13:23:44,10.14.7.23,windowsupdate.com,A,NOERROR,13.107.4.50,60
D00047,2026-08-10 14:00:50,10.14.9.18,namibian.com.na,A,NOERROR,197.221.2.4,600
D00048,2026-08-10 14:05:03,10.14.7.23,nust.na,A,NOERROR,196.216.167.4,600
