event_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,action,bytes_out,bytes_in,duration_sec,rule_name,country
F00001,2026-08-10 00:03:56,10.14.7.23,65018,44.236.72.93,443,TCP,ALLOW,1017,3844,68.11,OUTBOUND-WEB,US
F00002,2026-08-10 00:21:53,10.14.5.4,52952,44.236.72.93,123,UDP,ALLOW,989,20534,101.91,NTP-OUT,US
F00003,2026-08-10 00:24:00,10.14.7.23,56213,185.125.190.29,80,TCP,ALLOW,1637,7785,11.75,OUTBOUND-WEB,GB
F00004,2026-08-10 00:24:36,10.14.5.4,58838,10.20.5.12,3389,TCP,ALLOW,22095,26729,45.77,INTERNAL-BUSINESS,NA
F00005,2026-08-10 00:36:45,10.20.9.10,54984,13.107.6.156,443,TCP,ALLOW,16562,37397,168.7,OUTBOUND-WEB,US
F00006,2026-08-10 00:40:36,10.14.8.11,51454,10.20.9.10,445,TCP,ALLOW,14464,270382,22.03,INTERNAL-BUSINESS,NA
F00007,2026-08-10 00:42:10,10.20.2.15,51035,104.16.132.229,443,TCP,ALLOW,1036,588,39.63,OUTBOUND-WEB,US
F00008,2026-08-10 00:43:46,10.20.2.15,57258,13.107.6.156,53,UDP,ALLOW,501,4406,28.03,DNS-OUT,US
F00009,2026-08-10 00:48:49,10.20.2.15,50703,185.125.190.29,123,UDP,ALLOW,2788,2957,166.93,NTP-OUT,GB
F00010,2026-08-10 00:49:45,10.14.9.18,52908,13.107.6.156,123,UDP,ALLOW,4668,3138,69.03,NTP-OUT,US
F00011,2026-08-10 01:00:31,10.20.2.15,55427,140.82.121.4,53,UDP,ALLOW,1266,38979,129.54,DNS-OUT,US
F00012,2026-08-10 01:00:37,10.14.7.23,63969,13.107.6.156,53,UDP,ALLOW,767,58559,15.93,DNS-OUT,US
F00013,2026-08-10 01:07:49,10.20.9.10,59607,104.16.132.229,80,TCP,ALLOW,3097,1992,87.13,OUTBOUND-WEB,US
F00014,2026-08-10 01:16:03,10.14.7.23,64909,13.107.6.156,443,TCP,ALLOW,588,28492,11.1,OUTBOUND-WEB,US
F00015,2026-08-10 01:24:30,10.14.8.11,63357,20.112.52.29,123,UDP,ALLOW,2478,7187,135.43,NTP-OUT,US
F00016,2026-08-10 01:24:51,10.14.8.11,62439,10.20.9.10,3389,TCP,ALLOW,28130,305249,190.49,INTERNAL-BUSINESS,NA
F00017,2026-08-10 01:48:53,10.14.7.23,62641,104.16.132.229,443,TCP,ALLOW,4836,9671,23.83,OUTBOUND-WEB,US
F00018,2026-08-10 01:51:07,10.14.5.4,55204,140.82.121.4,123,UDP,DENY,6940,12526,144.67,NTP-OUT,US
F00019,2026-08-10 01:51:08,10.14.8.11,54659,20.112.52.29,123,UDP,ALLOW,7376,10003,99.66,NTP-OUT,US
F00020,2026-08-10 01:54:12,10.14.9.18,59251,10.20.9.10,445,TCP,ALLOW,29309,35933,258.76,INTERNAL-BUSINESS,NA
F00021,2026-08-10 01:56:54,10.14.9.18,58748,140.82.121.4,443,TCP,ALLOW,2149,1611,137.29,OUTBOUND-WEB,US
F00022,2026-08-10 02:10:38,10.14.7.23,50269,20.112.52.29,53,UDP,ALLOW,1520,6893,126.26,DNS-OUT,US
F00023,2026-08-10 02:23:08,10.20.9.10,52365,185.125.190.29,123,UDP,ALLOW,2889,6232,112.78,NTP-OUT,GB
F00024,2026-08-10 02:23:16,10.20.2.15,52120,44.236.72.93,123,UDP,ALLOW,15172,9414,129.19,NTP-OUT,US
F00025,2026-08-10 02:23:51,10.14.9.18,49553,13.107.6.156,53,UDP,ALLOW,3977,41269,91.7,DNS-OUT,US
F00026,2026-08-10 02:25:51,10.14.9.18,59757,44.236.72.93,123,UDP,ALLOW,2583,1511,74.86,NTP-OUT,US
F00027,2026-08-10 02:27:14,10.14.5.4,63716,142.250.74.14,80,TCP,ALLOW,13741,17768,135.22,OUTBOUND-WEB,US
F00028,2026-08-10 02:31:11,10.14.9.18,59445,44.236.72.93,443,TCP,ALLOW,6742,5740,78.42,OUTBOUND-WEB,US
F00029,2026-08-10 02:45:24,10.14.5.4,56068,10.20.8.20,1433,TCP,ALLOW,20010,42169,80.95,INTERNAL-BUSINESS,NA
F00030,2026-08-10 02:48:10,10.14.8.11,62792,142.250.74.14,123,UDP,DENY,5088,5352,94.63,NTP-OUT,US
F00031,2026-08-10 02:54:45,10.14.8.11,60185,13.107.6.156,123,UDP,ALLOW,5094,10534,79.44,NTP-OUT,US
F00032,2026-08-10 02:57:07,10.14.5.4,58779,185.125.190.29,123,UDP,ALLOW,1291,78673,158.77,NTP-OUT,GB
F00033,2026-08-10 02:57:51,10.14.8.11,58050,20.112.52.29,443,TCP,ALLOW,9412,4259,129.19,OUTBOUND-WEB,US
F00034,2026-08-10 02:59:03,10.14.5.4,58285,13.107.6.156,53,UDP,ALLOW,663,78262,73.86,DNS-OUT,US
F00035,2026-08-10 02:59:52,10.14.8.11,55802,104.16.132.229,53,UDP,ALLOW,7756,180318,105.67,DNS-OUT,US
F00036,2026-08-10 03:13:51,10.14.8.11,50065,185.125.190.29,123,UDP,ALLOW,940,26960,0.78,NTP-OUT,GB
F00037,2026-08-10 03:21:11,10.14.7.23,55937,20.112.52.29,123,UDP,ALLOW,3917,10412,72.53,NTP-OUT,US
F00038,2026-08-10 03:32:27,10.20.2.15,61591,142.250.74.14,123,UDP,ALLOW,5996,38206,115.57,NTP-OUT,US
F00039,2026-08-10 03:34:07,10.14.8.11,63040,10.20.9.10,443,TCP,ALLOW,11327,114441,261.54,INTERNAL-BUSINESS,NA
F00040,2026-08-10 03:47:53,10.14.7.23,50312,44.236.72.93,53,UDP,ALLOW,3072,11750,41.62,DNS-OUT,US
F00041,2026-08-10 03:54:47,10.20.2.15,51220,142.250.74.14,443,TCP,ALLOW,367,92969,30.94,OUTBOUND-WEB,US
F00042,2026-08-10 04:00:51,10.20.9.10,60785,185.125.190.29,80,TCP,ALLOW,16927,7382,177.96,OUTBOUND-WEB,GB
F00043,2026-08-10 04:14:50,10.14.9.18,56599,104.16.132.229,443,TCP,ALLOW,2580,5118,88.17,OUTBOUND-WEB,US
F00044,2026-08-10 04:29:52,10.20.2.15,58237,13.107.6.156,443,TCP,ALLOW,1368,20712,170.9,OUTBOUND-WEB,US
F00045,2026-08-10 04:58:47,10.14.9.18,56630,13.107.6.156,443,TCP,ALLOW,1953,4973,66.65,OUTBOUND-WEB,US
F00046,2026-08-10 05:00:37,10.14.9.18,52510,44.236.72.93,53,UDP,ALLOW,291,21203,10.68,DNS-OUT,US
F00047,2026-08-10 05:12:43,10.20.2.15,61457,13.107.6.156,53,UDP,ALLOW,3223,2386,13.5,DNS-OUT,US
F00048,2026-08-10 05:41:20,10.14.7.23,55679,10.20.5.12,3389,TCP,ALLOW,15330,182378,217.89,INTERNAL-BUSINESS,NA
F00049,2026-08-10 05:58:24,10.14.9.18,58919,13.107.6.156,123,UDP,ALLOW,3718,19247,122.33,NTP-OUT,US
F00050,2026-08-10 06:10:06,10.14.8.11,52309,10.20.8.20,443,TCP,ALLOW,7663,317433,246.54,INTERNAL-BUSINESS,NA
F00051,2026-08-10 06:11:24,10.14.9.18,63944,20.112.52.29,53,UDP,ALLOW,9953,15363,77.79,DNS-OUT,US
F00052,2026-08-10 06:17:46,10.20.2.15,65454,44.236.72.93,53,UDP,ALLOW,17294,2957,3.43,DNS-OUT,US
F00053,2026-08-10 06:23:51,10.20.9.10,49596,185.125.190.29,443,TCP,ALLOW,4706,2471,111.74,OUTBOUND-WEB,GB
F00054,2026-08-10 06:24:15,10.14.9.18,49832,185.125.190.29,123,UDP,ALLOW,780,27925,126.18,NTP-OUT,GB
F00055,2026-08-10 06:28:20,10.14.7.23,55316,10.20.5.12,445,TCP,ALLOW,112412,249682,252.65,INTERNAL-BUSINESS,NA
F00056,2026-08-10 06:41:46,10.14.7.23,50857,10.20.9.10,1433,TCP,ALLOW,49277,190476,63.93,INTERNAL-BUSINESS,NA
F00057,2026-08-10 06:44:25,10.14.9.18,64388,13.107.6.156,80,TCP,ALLOW,8630,1565,26.9,OUTBOUND-WEB,US
F00058,2026-08-10 06:46:53,10.20.9.10,65057,20.112.52.29,53,UDP,ALLOW,4485,14873,157.82,DNS-OUT,US
F00059,2026-08-10 06:47:21,10.14.7.23,53239,10.20.5.12,445,TCP,ALLOW,12890,292727,142.33,INTERNAL-BUSINESS,NA
F00060,2026-08-10 06:49:05,10.14.7.23,52956,142.250.74.14,80,TCP,ALLOW,8094,991,130.48,OUTBOUND-WEB,US
F00061,2026-08-10 06:55:26,10.14.5.4,54970,10.20.8.20,445,TCP,ALLOW,15561,37980,64.97,INTERNAL-BUSINESS,NA
F00062,2026-08-10 07:06:02,10.14.7.23,52504,13.107.6.156,53,UDP,ALLOW,11774,10916,176.89,DNS-OUT,US
F00063,2026-08-10 07:23:18,10.14.8.11,61014,10.20.1.10,1433,TCP,ALLOW,63945,249458,82.06,INTERNAL-BUSINESS,NA
F00064,2026-08-10 07:37:29,10.14.7.23,62581,142.250.74.14,443,TCP,ALLOW,7492,3012,94.09,OUTBOUND-WEB,US
F00065,2026-08-10 07:40:28,10.14.5.4,53292,13.107.6.156,80,TCP,DENY,8056,2644,70.21,OUTBOUND-WEB,US
F00066,2026-08-10 07:49:26,10.14.7.23,62153,140.82.121.4,80,TCP,ALLOW,921,3892,114.89,OUTBOUND-WEB,US
F00067,2026-08-10 07:57:08,10.20.9.10,53799,20.112.52.29,80,TCP,ALLOW,2100,813,18.81,OUTBOUND-WEB,US
F00068,2026-08-10 08:07:05,10.14.9.18,61366,20.112.52.29,80,TCP,ALLOW,3856,6971,67.12,OUTBOUND-WEB,US
F00069,2026-08-10 08:10:47,10.14.9.18,55768,10.20.9.10,445,TCP,ALLOW,51376,61592,191.61,INTERNAL-BUSINESS,NA
F00070,2026-08-10 08:15:57,10.14.7.23,65449,140.82.121.4,123,UDP,ALLOW,2780,12130,151.6,NTP-OUT,US
F00071,2026-08-10 08:33:11,10.14.8.11,58901,142.250.74.14,123,UDP,ALLOW,4222,2783,53.54,NTP-OUT,US
F00072,2026-08-10 08:40:58,10.14.8.11,62989,13.107.6.156,53,UDP,ALLOW,3759,6871,115.09,DNS-OUT,US
F00073,2026-08-10 08:45:19,10.14.7.23,51596,104.16.132.229,80,TCP,ALLOW,11213,6729,32.09,OUTBOUND-WEB,US
F00074,2026-08-10 08:47:05,10.14.5.4,51553,104.16.132.229,123,UDP,ALLOW,9999,7841,94.27,NTP-OUT,US
F00075,2026-08-10 08:50:52,10.20.9.10,58368,185.125.190.29,123,UDP,ALLOW,1509,137694,130.44,NTP-OUT,GB
F00076,2026-08-10 08:51:19,10.14.8.11,56791,13.107.6.156,443,TCP,ALLOW,5936,8567,147.84,OUTBOUND-WEB,US
F00077,2026-08-10 08:51:33,10.14.8.11,52743,13.107.6.156,53,UDP,ALLOW,15562,5909,55.1,DNS-OUT,US
F00078,2026-08-10 09:21:21,10.14.8.11,52393,140.82.121.4,53,UDP,ALLOW,7861,11046,42.72,DNS-OUT,US
F00079,2026-08-10 09:23:44,10.14.5.4,52539,140.82.121.4,443,TCP,ALLOW,6793,24757,95.69,OUTBOUND-WEB,US
F00080,2026-08-10 09:26:49,10.14.8.11,52869,185.125.190.29,80,TCP,ALLOW,390,13663,90.56,OUTBOUND-WEB,GB
F00081,2026-08-10 09:30:08,10.14.9.18,49836,140.82.121.4,53,UDP,ALLOW,2077,59532,143.63,DNS-OUT,US
F00082,2026-08-10 09:48:44,10.14.7.23,57596,142.250.74.14,123,UDP,ALLOW,4074,68313,35.93,NTP-OUT,US
F00083,2026-08-10 09:53:37,10.14.7.23,53088,13.107.6.156,123,UDP,ALLOW,4249,13856,9.16,NTP-OUT,US
F00084,2026-08-10 10:14:35,10.14.7.23,49510,104.16.132.229,80,TCP,ALLOW,3262,6269,49.19,OUTBOUND-WEB,US
F00085,2026-08-10 10:15:43,10.14.9.18,63505,13.107.6.156,80,TCP,ALLOW,5142,18384,117.81,OUTBOUND-WEB,US
F00086,2026-08-10 10:18:11,10.14.7.23,51149,140.82.121.4,80,TCP,ALLOW,329,38560,121.27,OUTBOUND-WEB,US
F00087,2026-08-10 10:28:14,10.20.2.15,52478,185.125.190.29,123,UDP,ALLOW,2155,5021,148.04,NTP-OUT,GB
F00088,2026-08-10 10:52:29,10.20.9.10,58037,20.112.52.29,53,UDP,ALLOW,10132,2616,28.22,DNS-OUT,US
F00089,2026-08-10 10:55:34,10.20.9.10,62552,142.250.74.14,80,TCP,ALLOW,5184,2728,56.01,OUTBOUND-WEB,US
F00090,2026-08-10 10:58:20,10.14.9.18,59456,104.16.132.229,123,UDP,ALLOW,5740,15434,56.15,NTP-OUT,US
F00091,2026-08-10 11:19:42,10.20.2.15,52281,185.125.190.29,53,UDP,ALLOW,10489,11219,118.54,DNS-OUT,GB
F00092,2026-08-10 11:28:02,10.14.9.18,57308,13.107.6.156,123,UDP,ALLOW,6882,15247,40.01,NTP-OUT,US
F00093,2026-08-10 11:39:24,10.14.8.11,50576,10.20.8.20,445,TCP,ALLOW,86680,212207,226.28,INTERNAL-BUSINESS,NA
F00094,2026-08-10 11:45:54,10.14.7.23,55998,185.125.190.29,443,TCP,ALLOW,5674,496,119.55,OUTBOUND-WEB,GB
F00095,2026-08-10 11:49:15,10.14.8.11,56500,13.107.6.156,123,UDP,ALLOW,6181,5782,124.84,NTP-OUT,US
