flow_id,timestamp,src_ip,dst_ip,dst_port,protocol,duration_sec,src_bytes,dst_bytes,packets,connections_2s,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,hour,is_weekend
INV00418,2026-08-10 00:15:57,10.14.9.18,104.16.132.229,443,TCP,11.018,5396,1530,9,8,0.1083,0.1154,0.6952,0.2417,0,0
INV00421,2026-08-10 00:27:36,10.20.2.15,13.107.6.156,80,TCP,38.146,2402,747,5,11,0.1419,0.1259,0.858,0.2109,0,0
INV00061,2026-08-10 01:22:04,10.20.2.15,13.107.6.156,80,TCP,9.928,4341,3864,10,4,0.0983,0.087,0.4721,0.5687,1,0
INV00052,2026-08-10 01:41:42,10.20.2.15,140.82.121.4,22,TCP,8.138,1316,1724,2,10,0.0059,0.4197,0.7901,0.2796,1,0
INV00361,2026-08-10 01:44:46,10.20.2.15,142.250.74.14,443,TCP,39.592,2527,3717,5,7,0.0058,0.1246,0.7867,0.173,1,0
INV00195,2026-08-10 02:20:22,10.20.2.15,104.16.132.229,443,TCP,12.963,1005,3372,6,1,0.22,0.0875,0.4691,0.456,2,0
INV00124,2026-08-10 02:28:03,10.20.2.15,20.112.52.29,80,TCP,36.918,747,3510,5,1,0.0071,0.0451,0.8101,0.1332,2,0
INV00255,2026-08-10 02:55:13,10.20.9.10,140.82.121.4,443,TCP,20.081,6844,31123,47,3,0.2405,0.0178,0.5462,0.4005,2,0
INV00217,2026-08-10 03:13:10,10.14.8.11,140.82.121.4,22,TCP,65.917,2233,54,2,2,0.2119,0.1448,0.8766,0.1068,3,0
INV00027,2026-08-10 03:36:25,10.14.9.18,185.125.190.29,443,TCP,54.286,24373,2901,17,5,0.0067,0.1117,0.3809,0.6098,3,0
INV00283,2026-08-10 04:16:26,10.14.5.4,44.236.72.93,22,TCP,20.163,6250,605,4,2,0.2686,0.0605,0.7149,0.2978,4,0
INV00145,2026-08-10 04:29:01,10.20.2.15,142.250.74.14,53,UDP,9.599,3775,1065,9,9,0.0996,0.0369,0.9211,0.037,4,0
INV00072,2026-08-10 04:34:19,10.14.9.18,140.82.121.4,80,TCP,40.562,3326,7816,15,3,0.0263,0.0406,0.371,0.6397,4,0
INV00099,2026-08-10 04:39:11,10.14.9.18,20.112.52.29,443,TCP,8.001,554,8309,6,11,0.2058,0.1356,0.626,0.383,4,0
INV00162,2026-08-10 04:56:21,10.20.9.10,20.112.52.29,443,TCP,10.503,3420,10796,25,4,0.2964,0.1493,0.9882,0.0028,4,0
INV00033,2026-08-10 05:19:19,10.20.9.10,13.107.6.156,443,TCP,10.482,22825,45761,50,11,0.0576,0.0695,0.8369,0.1775,5,0
INV00021,2026-08-10 06:05:58,10.14.9.18,104.16.132.229,25,TCP,49.286,246,6739,12,8,0.2484,0.0779,0.8401,0.087,6,0
INV00219,2026-08-10 06:31:43,10.20.2.15,104.16.132.229,53,UDP,15.467,13523,9494,23,8,0.2634,0.1575,0.5056,0.4628,6,0
INV00273,2026-08-10 06:53:53,10.20.2.15,104.16.132.229,80,TCP,24.332,156,9323,11,7,0.0076,0.0076,0.875,0.2009,6,0
