flow_id,timestamp,src_ip,dst_ip,dst_port,protocol,duration_sec,src_bytes,dst_bytes,packets,connections_2s,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,hour,is_weekend,label
TR00001,2026-08-16 18:05:12,10.14.8.11,44.236.72.93,80,TCP,5.11,2089,10217,23,1,0.1314,0.0078,0.7101,0.2135,18,1,0
TR00002,2026-08-10 22:46:01,10.14.8.11,13.107.6.156,53,UDP,7.879,1966,1031,4,9,0.0011,0.0353,0.7448,0.1882,22,0,0
TR00003,2026-08-13 18:00:34,10.20.9.10,13.107.6.156,3389,TCP,11.499,7509,36214,33,1,0.0582,0.0449,0.9335,0.1121,18,0,0
TR00004,2026-08-14 21:00:37,10.20.9.10,104.16.132.229,443,TCP,28.932,14440,391,11,7,0.0942,0.0477,0.9037,0.1223,21,0,0
TR00005,2026-08-11 17:26:45,10.14.8.11,142.250.74.14,22,TCP,63.151,648,223,2,5,0.1043,0.0985,0.8881,0.0932,17,0,0
TR00006,2026-08-12 21:51:04,10.20.2.15,140.82.121.4,443,TCP,4.7,4354,606,3,6,0.0237,0.04,0.4778,0.509,21,0,0
TR00007,2026-08-16 20:07:51,10.14.7.23,104.16.132.229,53,UDP,10.666,1219,11988,17,1,0.2239,0.0014,0.3146,0.739,20,1,0
TR00008,2026-08-16 23:15:39,10.14.8.11,104.16.132.229,53,UDP,10.027,628,160531,128,6,0.0032,0.1575,0.6621,0.3847,23,1,0
TR00009,2026-08-15 02:12:37,10.14.7.23,13.107.6.156,3389,TCP,1.237,512,958,2,3,0.094,0.0021,0.8559,0.1879,2,1,0
TR00010,2026-08-14 04:28:40,10.20.2.15,185.125.190.29,53,UDP,13.807,734,13362,14,3,0.2266,0.1714,0.906,0.1203,4,0,0
TR00011,2026-08-10 21:31:44,10.14.9.18,104.16.132.229,1433,TCP,21.145,1014,623,2,13,0.1619,0.0078,0.4974,0.4849,21,0,0
TR00012,2026-08-15 05:09:23,10.14.5.4,104.16.132.229,80,TCP,27.183,2455,2638,5,10,0.0189,0.0407,0.5213,0.4553,5,1,0
TR00013,2026-08-11 10:05:14,10.20.2.15,44.236.72.93,445,TCP,0.522,77,117,4,84,0.9919,0.4334,0.2436,0.7144,10,0,1
TR00014,2026-08-12 04:53:01,10.14.8.11,20.112.52.29,443,TCP,87.86,32248013,49049,41862,7,0.0505,0.0219,0.7651,0.1502,4,0,1
TR00015,2026-08-15 17:53:37,10.14.9.18,44.236.72.93,53,UDP,81.432,6482,1013,7,1,0.1093,0.0252,0.6922,0.2575,17,1,0
TR00016,2026-08-14 00:24:54,10.14.5.4,142.250.74.14,443,TCP,25.44,258,3792,2,10,0.1214,0.0333,0.9848,0,0,0,0
TR00017,2026-08-11 17:22:36,10.20.2.15,44.236.72.93,443,TCP,30.258,10595,432,11,7,0.0119,0.0286,0.6108,0.3405,17,0,0
TR00018,2026-08-14 19:49:26,10.14.8.11,140.82.121.4,443,TCP,40.342,2959,2389,3,2,0.1821,0.058,0.512,0.4396,19,0,0
TR00019,2026-08-16 21:38:35,10.14.8.11,104.16.132.229,1433,TCP,23.396,8536,172,6,8,0.0621,0.0148,0.8636,0.1481,21,1,0
TR00020,2026-08-10 19:58:10,10.20.9.10,185.125.190.29,443,TCP,6.806,22298,2784,16,7,0.1028,0.0199,0.86,0.157,19,0,0
TR00021,2026-08-13 05:49:17,10.14.8.11,20.112.52.29,22,TCP,103.051,517,7738,10,1,0.0022,0.023,0.6079,0.4081,5,0,0
TR00022,2026-08-12 09:41:10,10.14.7.23,185.125.190.29,443,TCP,26.954,1915,5036,8,9,0.0321,0.0112,0.8824,0.0493,9,0,0
TR00023,2026-08-11 06:32:17,10.14.9.18,104.16.132.229,443,TCP,20.783,3307,3756,13,3,0.045,0.0857,0.6952,0.2953,6,0,0
TR00024,2026-08-11 04:38:41,10.14.5.4,13.107.6.156,443,TCP,4.306,40,47557,88,4,0.0347,0.0027,0.8552,0.1152,4,0,0
TR00025,2026-08-14 23:39:38,10.14.8.11,104.16.132.229,443,TCP,87.937,34649269,74044,38104,8,0.0208,0.04,0.815,0.0018,23,0,1
TR00026,2026-08-11 02:22:37,10.14.5.4,13.107.6.156,53,UDP,19.134,596,93,2,15,0.0184,0.2013,0.5654,0.3774,2,0,0
TR00027,2026-08-12 22:58:06,10.20.2.15,142.250.74.14,445,TCP,34.227,102,8520,8,7,0.2722,0.0604,0.7155,0.2145,22,0,0
TR00028,2026-08-10 10:41:38,10.20.9.10,44.236.72.93,25,TCP,39.393,885,986,2,4,0.1028,0.034,0.7644,0.1801,10,0,0
TR00029,2026-08-12 06:28:54,10.14.9.18,13.107.6.156,1433,TCP,6.007,1115,5174,4,6,0.1663,0.0241,0.9372,0,6,0,0
TR00030,2026-08-16 01:18:39,10.20.2.15,13.107.6.156,1433,TCP,5.554,9131,1121,6,6,0.2734,0.0142,0.8724,0.1447,1,1,0
TR00031,2026-08-16 01:44:50,10.14.8.11,104.16.132.229,443,TCP,6.356,264,451,2,9,0.1581,0.1657,0.9579,0.0782,1,1,0
TR00032,2026-08-16 00:23:53,10.20.9.10,140.82.121.4,443,TCP,8.146,137,27030,18,3,0.3519,0.1317,0.7689,0.3082,0,1,0
TR00033,2026-08-12 20:38:32,10.14.9.18,142.250.74.14,443,TCP,21.039,1182,5540,7,2,0.1037,0.0206,0.878,0.1593,20,0,0
TR00034,2026-08-13 18:13:40,10.14.7.23,44.236.72.93,22,TCP,18.582,2873,577,4,1,0.0473,0.0786,0.9701,0.0292,18,0,0
TR00035,2026-08-14 07:07:30,10.20.9.10,13.107.6.156,443,TCP,13.811,4970,36541,28,7,0.0329,0.1045,0.6202,0.373,7,0,0
TR00036,2026-08-12 17:03:33,10.14.8.11,104.16.132.229,80,TCP,10.939,8958,718,9,5,0.1313,0.031,0.9115,0.1621,17,0,0
TR00037,2026-08-14 19:44:55,10.14.7.23,140.82.121.4,443,TCP,38.9,16106,1481,11,8,0.1449,0.2841,0.6367,0.3067,19,0,0
TR00038,2026-08-10 11:32:10,10.20.2.15,13.107.6.156,80,TCP,51.415,1445,5760,5,5,0.0352,0.1208,0.7654,0.2758,11,0,0
TR00039,2026-08-15 12:03:38,10.14.9.18,20.112.52.29,53,UDP,72.322,9421,1872,8,4,0.1331,0.1477,0.6357,0.2934,12,1,0
TR00040,2026-08-15 09:59:38,10.14.8.11,140.82.121.4,25,TCP,15.876,35074,3427,43,5,0.0902,0.1002,0.9404,0,9,1,0
TR00041,2026-08-12 04:25:28,10.14.7.23,140.82.121.4,443,TCP,22.684,8442,16083,21,8,0.2744,0.4016,0.5116,0.5385,4,0,0
TR00042,2026-08-12 21:57:17,10.14.7.23,142.250.74.14,80,TCP,31.454,2126,68114,91,4,0.0811,0.1606,0.9514,0,21,0,0
TR00043,2026-08-10 22:33:45,10.14.8.11,104.16.132.229,443,TCP,9.272,1475,2738,2,10,0.1281,0.1459,0.6694,0.2654,22,0,0
TR00044,2026-08-14 09:58:44,10.14.8.11,185.125.190.29,3389,TCP,90.02,4951,815,6,3,0.044,0.0239,0.8689,0.1106,9,0,0
TR00045,2026-08-16 16:25:48,10.14.5.4,140.82.121.4,3389,TCP,12.328,8523,5819,13,9,0.0445,0.0478,0.4938,0.4712,16,1,0
TR00046,2026-08-13 03:30:21,10.14.9.18,13.107.6.156,443,TCP,217.728,29182629,73609,39000,5,0.0541,0.0341,0.7907,0.1256,3,0,1
TR00047,2026-08-12 15:33:47,10.14.9.18,142.250.74.14,1433,TCP,0.082,60,77,5,44,0.8137,0.3968,0.439,0.8762,15,0,1
TR00048,2026-08-12 03:15:13,10.14.7.23,20.112.52.29,3389,TCP,155.098,2965,9220,8,5,0.035,0.0789,0.7807,0.1757,3,0,0
TR00049,2026-08-15 21:37:52,10.20.2.15,185.125.190.29,445,TCP,11.83,19971,979,15,9,0.1237,0.018,0.7257,0.32,21,1,0
TR00050,2026-08-16 03:23:47,10.20.2.15,142.250.74.14,443,TCP,57.259,2444,782,3,7,0.0288,0.0013,0.5348,0.5017,3,1,0
TR00051,2026-08-10 11:38:42,10.14.8.11,20.112.52.29,1433,TCP,35.461,46014,2626,46,9,0.0813,0.0542,0.5646,0.3872,11,0,0
TR00052,2026-08-16 12:00:12,10.14.9.18,142.250.74.14,443,TCP,35.446,1562,19725,16,1,0.0272,0.1312,0.8957,0.1446,12,1,0
TR00053,2026-08-16 07:23:44,10.20.2.15,13.107.6.156,3389,TCP,40.354,755,1503,2,14,0.0476,0.0842,0.6382,0.3637,7,1,0
TR00054,2026-08-13 04:59:15,10.20.2.15,20.112.52.29,1433,TCP,0.222,171,157,5,57,0.695,0.0945,0.2161,0.6564,4,0,1
TR00055,2026-08-15 07:26:25,10.14.5.4,185.125.190.29,3389,TCP,55.549,318,1289,2,11,0.0717,0.0019,0.7938,0.1343,7,1,0
TR00056,2026-08-14 04:22:53,10.14.5.4,44.236.72.93,22,TCP,52.457,19739,3508,30,5,0.1053,0.0296,0.5497,0.4436,4,0,0
TR00057,2026-08-10 02:39:34,10.14.8.11,104.16.132.229,443,TCP,205.081,33591777,59627,18348,2,0.0624,0.0181,0.923,0.0633,2,0,1
TR00058,2026-08-14 14:55:10,10.14.7.23,185.125.190.29,3389,TCP,1.004,157,16,2,100,0.6001,0.3618,0.0995,0.6489,14,0,1
TR00059,2026-08-13 21:18:09,10.20.2.15,13.107.6.156,3389,TCP,33.289,2721,1048,5,10,0.0491,0.0332,0.7578,0.1646,21,0,0
TR00060,2026-08-12 07:13:28,10.20.9.10,142.250.74.14,443,TCP,30.791,1994,1370,2,1,0.1147,0.2159,0.6876,0.2503,7,0,0
TR00061,2026-08-12 13:51:20,10.14.9.18,140.82.121.4,80,TCP,3.157,128,17440,11,5,0.0396,0.0022,0.6712,0.361,13,0,0
TR00062,2026-08-11 11:19:05,10.14.8.11,44.236.72.93,445,TCP,30.252,533,29536,37,13,0.0284,0.0196,0.5817,0.4406,11,0,0
TR00063,2026-08-13 21:18:19,10.14.8.11,13.107.6.156,25,TCP,9.323,2068,1374,2,8,0.0625,0.1136,0.7166,0.3373,21,0,0
TR00064,2026-08-11 01:54:50,10.14.8.11,20.112.52.29,443,TCP,5.88,854,602,3,3,0.0472,0.0221,0.8802,0.072,1,0,1
TR00065,2026-08-12 19:21:13,10.14.5.4,13.107.6.156,80,TCP,12.569,6452,5270,8,10,0.0058,0.033,0.8165,0.1228,19,0,0
TR00066,2026-08-16 15:11:42,10.20.2.15,20.112.52.29,80,TCP,37.719,6165,7031,18,6,0.0846,0.0051,0.5476,0.4124,15,1,0
TR00067,2026-08-16 21:43:11,10.14.8.11,44.236.72.93,443,TCP,19.371,2794,905,2,1,0.0678,0.1579,0.7537,0.2288,21,1,0
TR00068,2026-08-13 10:22:00,10.20.2.15,20.112.52.29,443,TCP,4.424,423,9838,13,1,0.0023,0.0272,0.8592,0.0712,10,0,0
TR00069,2026-08-10 16:05:00,10.14.8.11,142.250.74.14,445,TCP,14.157,2738,262,2,3,0.0041,0.1221,0.9488,0.0247,16,0,0
TR00070,2026-08-11 22:58:24,10.14.8.11,20.112.52.29,53,UDP,8.021,1025,10422,11,9,0.032,0.0543,0.4004,0.5861,22,0,0
TR00071,2026-08-10 07:35:30,10.14.7.23,140.82.121.4,443,TCP,12.149,819,39018,37,5,0.0716,0.0497,0.3455,0.5959,7,0,0
TR00072,2026-08-11 07:34:01,10.20.2.15,142.250.74.14,443,TCP,42.768,1316,13955,27,1,0.0365,0.1966,0.5484,0.5071,7,0,0
TR00073,2026-08-16 17:28:39,10.14.8.11,13.107.6.156,443,TCP,72.462,8349,949,9,6,0.0107,0.0102,0.5831,0.3932,17,1,0
TR00074,2026-08-11 08:17:59,10.14.5.4,185.125.190.29,443,TCP,28.803,20400,9624,55,10,0.0781,0.1044,0.9652,0.0595,8,0,0
TR00075,2026-08-10 02:28:54,10.20.9.10,142.250.74.14,443,TCP,16.781,1187,28497,25,1,0.0496,0.0664,0.6947,0.374,2,0,0
TR00076,2026-08-10 23:44:57,10.14.5.4,44.236.72.93,443,TCP,43.083,52,36277,23,6,0.0865,0.0747,0.9595,0.0164,23,0,0
TR00077,2026-08-10 19:22:47,10.14.9.18,142.250.74.14,80,TCP,8.964,4304,12494,20,1,0.2153,0.2753,0.6717,0.2677,19,0,0
TR00078,2026-08-12 05:15:18,10.20.2.15,13.107.6.156,445,TCP,7.087,349,1056,2,8,0.0491,0.0598,0.639,0.3949,5,0,0
TR00079,2026-08-11 03:40:49,10.14.5.4,104.16.132.229,389,TCP,0.082,240,133,2,58,0.7106,0.1484,0.1271,0.7679,3,0,1
