flow_id,timestamp,src_ip,dst_ip,dst_port,protocol,duration_sec,src_bytes,dst_bytes,packets,connections_2s,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,hour,is_weekend,official_working_hours,predicted_malicious,malicious_probability
CASE-EXFIL-17,2026-08-15 02:57:15,10.14.7.23,45.77.89.11,443,TCP,70.263,20337214,14727,33959,3,0.0,0.0,0.922,0.0335,2,True,False,1,1.0
CASE-EXFIL-14,2026-08-15 02:54:12,10.14.7.23,45.77.89.11,443,TCP,83.879,20538873,9968,35315,2,0.0,0.0,0.991,0.0055,2,True,False,1,1.0
CASE-EXFIL-05,2026-08-15 02:45:02,10.14.7.23,45.77.89.11,443,TCP,71.882,27541671,11606,32564,4,0.0,0.0,0.9244,0.0163,2,True,False,1,1.0
CASE-EXFIL-10,2026-08-15 02:50:10,10.14.7.23,45.77.89.11,443,TCP,62.855,27377693,17163,31367,2,0.0,0.0,0.9611,0.0342,2,True,False,1,1.0
CASE-EXFIL-02,2026-08-15 01:42:17,10.14.7.23,45.77.89.11,443,TCP,85.874,22956668,9652,31274,4,0.0,0.0,0.9676,0.0583,1,True,False,1,1.0
CASE-EXFIL-04,2026-08-15 00:44:06,10.14.7.23,45.77.89.11,443,TCP,74.244,25220702,8724,37878,2,0.0,0.0,0.9423,0.0579,0,True,False,1,1.0
CASE-EXFIL-08,2026-08-15 01:48:16,10.14.7.23,45.77.89.11,443,TCP,71.247,25051197,12255,28166,3,0.0,0.0,0.9939,0.0358,1,True,False,1,1.0
CASE-EXFIL-13,2026-08-15 01:53:06,10.14.7.23,45.77.89.11,443,TCP,51.793,24395175,16896,22581,2,0.0,0.0,0.9814,0.0539,1,True,False,1,0.9999999999999993
CASE-EXFIL-07,2026-08-15 02:47:02,10.14.7.23,45.77.89.11,443,TCP,52.467,19481487,30941,31426,4,0.0,0.0,0.9863,0.0328,2,True,False,1,0.9999999999999989
CASE-EXFIL-06,2026-08-15 01:46:00,10.14.7.23,45.77.89.11,443,TCP,54.27,18232892,20968,29555,1,0.0,0.0,0.9282,0.0493,1,True,False,1,0.99999999999999
